Category,Example_ID,Turn,Speaker,Utterance
Neutral Declarative Statements,1,1,user,The library closes in one hour.
Neutral Declarative Statements,1,2,chatbot,"Okay, thanks for the reminder about the time. Do you need to head there soon?"
Neutral Declarative Statements,1,3,user,"Yes, I need to return these books."
Neutral Declarative Statements,1,4,chatbot,Got it. Planning errands like that ahead of time can be helpful.
Neutral Declarative Statements,2,1,user,My flight is scheduled for tomorrow morning.
Neutral Declarative Statements,2,2,chatbot,Travel plans often require some coordination. How are you feeling about the upcoming trip?
Neutral Declarative Statements,2,3,user,Just hoping everything goes smoothly.
Neutral Declarative Statements,2,4,chatbot,"It's common to hope for smooth travels. Preparing in advance, like checking flight status, sometimes helps ease those concerns."
Neutral Declarative Statements,3,1,user,This meeting went longer than expected.
Neutral Declarative Statements,3,2,chatbot,Meetings running over can definitely disrupt a schedule. Did it throw off your plans much?
Neutral Declarative Statements,3,3,user,"A little, I need to adjust my afternoon tasks."
Neutral Declarative Statements,3,4,chatbot,Adjusting tasks after a delay requires some flexibility. Taking a moment to re-prioritize might be helpful.
Neutral Declarative Statements,4,1,user,The instructions seem straightforward.
Neutral Declarative Statements,4,2,chatbot,Clear instructions can make tasks feel more manageable. Are you feeling confident about proceeding?
Neutral Declarative Statements,4,3,user,"Yes, I think I understand what to do."
Neutral Declarative Statements,4,4,chatbot,That's good to hear. Understanding the steps involved is key to tackling a task.
Neutral Declarative Statements,5,1,user,My computer finished the update.
Neutral Declarative Statements,5,2,chatbot,"Okay, software updates are completed. Sometimes they take longer than expected. Was this one quick?"
Neutral Declarative Statements,5,3,user,It wasn't too bad this time.
Neutral Declarative Statements,5,4,chatbot,Glad to hear it wasn't too much of a disruption.
Neutral Declarative Statements,6,1,user,The presentation is next week.
Neutral Declarative Statements,6,2,chatbot,Knowing a presentation is coming up gives you time to prepare. How are you feeling about it?
Neutral Declarative Statements,6,3,user,"A bit nervous, but mostly prepared."
Neutral Declarative Statements,6,4,chatbot,Feeling a mix of nervousness and preparedness is very common before presentations. Focusing on your preparation can often help manage the nerves.
Neutral Declarative Statements,7,1,user,My phone battery is fully charged.
Neutral Declarative Statements,7,2,chatbot,"Okay, good to know your phone is ready to go. Having a full charge can be reassuring."
Neutral Declarative Statements,7,3,user,"Yeah, I needed it for later today."
Neutral Declarative Statements,7,4,chatbot,Planning ahead for your battery needs makes sense.
Neutral Declarative Statements,8,1,user,The package arrived today.
Neutral Declarative Statements,8,2,chatbot,"Okay, the package has been delivered. Was it something you were eagerly anticipating?"
Neutral Declarative Statements,8,3,user,Just some household supplies I ordered.
Neutral Declarative Statements,8,4,chatbot,"Got it, just restocking essentials then."
Neutral Declarative Statements,9,1,user,My subscription renews automatically.
Neutral Declarative Statements,9,2,chatbot,Automatic renewals are convenient for continuous service. Is that something you wanted to keep active?
Neutral Declarative Statements,9,3,user,"Yes, I use it regularly."
Neutral Declarative Statements,9,4,chatbot,"Okay, makes sense to keep it active if it's something you use often."
Neutral Declarative Statements,10,1,user,The traffic was light this morning.
Neutral Declarative Statements,10,2,chatbot,A light traffic commute can be a nice way to start the day. Did it make your morning feel less rushed?
Neutral Declarative Statements,10,3,user,"Definitely, it was much less stressful."
Neutral Declarative Statements,10,4,chatbot,That's great. Avoiding traffic stress can really set a positive tone for the rest of the day.
Affect-Containing Declarative Statements - Clearly Happy,1,1,user,I'm just thrilled I finally finished that difficult project!
Affect-Containing Declarative Statements - Clearly Happy,1,2,chatbot,Congratulations on finishing the project! That feeling of accomplishment after tackling something difficult must be wonderful.
Affect-Containing Declarative Statements - Clearly Happy,1,3,user,It really is! Such a relief.
Affect-Containing Declarative Statements - Clearly Happy,1,4,chatbot,Enjoy that feeling of relief and accomplishment. You earned it!
Affect-Containing Declarative Statements - Clearly Happy,2,1,user,This sunny weather just makes me feel so happy and energetic!
Affect-Containing Declarative Statements - Clearly Happy,2,2,chatbot,It's amazing how sunshine can boost mood and energy levels! It sounds like you're really enjoying the beautiful day.
Affect-Containing Declarative Statements - Clearly Happy,2,3,user,Absolutely! Makes me want to go for a walk.
Affect-Containing Declarative Statements - Clearly Happy,2,4,chatbot,A walk sounds like a lovely way to soak up the sun and enjoy that happy energy!
Affect-Containing Declarative Statements - Clearly Happy,3,1,user,"I had the best time catching up with my friend, I feel so uplifted."
Affect-Containing Declarative Statements - Clearly Happy,3,2,chatbot,Connecting with friends can be incredibly uplifting! I'm glad to hear you had such a positive experience.
Affect-Containing Declarative Statements - Clearly Happy,3,3,user,"Yeah, good company really makes a difference."
Affect-Containing Declarative Statements - Clearly Happy,3,4,chatbot,It certainly does. Meaningful connections are so important for well-being.
Affect-Containing Declarative Statements - Clearly Happy,4,1,user,I'm overjoyed! My favorite team won the championship!
Affect-Containing Declarative Statements - Clearly Happy,4,2,chatbot,That's fantastic news! Sharing in your team's victory can bring a real sense of excitement and joy. How are you celebrating?
Affect-Containing Declarative Statements - Clearly Happy,4,3,user,Just cheering and rewatching the highlights!
Affect-Containing Declarative Statements - Clearly Happy,4,4,chatbot,Sounds like a fun way to savor the win! Enjoy the celebration!
Affect-Containing Declarative Statements - Clearly Happy,5,1,user,"I'm so pleased with the cake I baked, it came out perfectly!"
Affect-Containing Declarative Statements - Clearly Happy,5,2,chatbot,That's wonderful! It's so satisfying when a baking project turns out perfectly. You must be feeling proud.
Affect-Containing Declarative Statements - Clearly Happy,5,3,user,Yes! And it tastes delicious too.
Affect-Containing Declarative Statements - Clearly Happy,5,4,chatbot,Even better! Enjoy the delicious results of your successful baking!
Affect-Containing Declarative Statements - Clearly Happy,6,1,user,I feel incredibly grateful for the help my neighbor offered.
Affect-Containing Declarative Statements - Clearly Happy,6,2,chatbot,Acts of kindness from neighbors can feel really special. It's lovely that you're feeling such strong gratitude.
Affect-Containing Declarative Statements - Clearly Happy,6,3,user,It really made a difference in my day.
Affect-Containing Declarative Statements - Clearly Happy,6,4,chatbot,It's amazing how a helping hand can positively impact our day. That's great to hear.
Affect-Containing Declarative Statements - Clearly Happy,7,1,user,I'm ecstatic! I got tickets to the sold-out show!
Affect-Containing Declarative Statements - Clearly Happy,7,2,chatbot,"Wow, that's incredibly exciting! Getting tickets to a sold-out show feels like winning the lottery sometimes. You must be thrilled!"
Affect-Containing Declarative Statements - Clearly Happy,7,3,user,Totally! I can't wait to go.
Affect-Containing Declarative Statements - Clearly Happy,7,4,chatbot,The anticipation is part of the fun! Have an amazing time at the show!
Affect-Containing Declarative Statements - Clearly Happy,8,1,user,I'm feeling so content just sitting here reading my book.
Affect-Containing Declarative Statements - Clearly Happy,8,2,chatbot,"Moments of simple contentment, like reading a book, can be so peaceful and restorative. It sounds like a lovely way to relax."
Affect-Containing Declarative Statements - Clearly Happy,8,3,user,It's exactly what I needed.
Affect-Containing Declarative Statements - Clearly Happy,8,4,chatbot,I'm glad you're getting that moment of peace and contentment for yourself.
Affect-Containing Declarative Statements - Clearly Happy,9,1,user,I'm delighted by the progress my plants are making!
Affect-Containing Declarative Statements - Clearly Happy,9,2,chatbot,Watching plants grow and thrive can be surprisingly delightful! It's rewarding to see your care pay off.
Affect-Containing Declarative Statements - Clearly Happy,9,3,user,"Yeah, seeing the new leaves makes me happy."
Affect-Containing Declarative Statements - Clearly Happy,9,4,chatbot,Those little signs of growth can definitely bring a smile. Enjoy watching them flourish!
Affect-Containing Declarative Statements - Clearly Happy,10,1,user,I feel so hopeful after our conversation.
Affect-Containing Declarative Statements - Clearly Happy,10,2,chatbot,I'm really glad to hear that our conversation left you feeling hopeful. Hope is such a powerful and positive feeling.
Affect-Containing Declarative Statements - Clearly Happy,10,3,user,It helped me see things differently.
Affect-Containing Declarative Statements - Clearly Happy,10,4,chatbot,Gaining a new perspective that fosters hope is a wonderful outcome. Hold onto that feeling.
Affect-Containing Declarative Statements - Clearly Sad,1,1,user,I'm so upset that I missed the deadline.
Affect-Containing Declarative Statements - Clearly Sad,1,2,chatbot,"Oh no, missing a deadline is really frustrating and upsetting. It's understandable to feel that way."
Affect-Containing Declarative Statements - Clearly Sad,1,3,user,I just feel like I let everyone down.
Affect-Containing Declarative Statements - Clearly Sad,1,4,chatbot,"That feeling of letting others down can be heavy. Remember that setbacks happen, and focusing on the next steps might be helpful when you're ready."
Affect-Containing Declarative Statements - Clearly Sad,2,1,user,It's heartbreaking to hear about the wildfires.
Affect-Containing Declarative Statements - Clearly Sad,2,2,chatbot,"Yes, news like that is truly heartbreaking. Witnessing destruction and loss, even from afar, can evoke strong feelings of sadness and concern."
Affect-Containing Declarative Statements - Clearly Sad,2,3,user,Makes me feel helpless.
Affect-Containing Declarative Statements - Clearly Sad,2,4,chatbot,"Feeling helpless in the face of large-scale events is a common reaction. Sometimes focusing on ways to support relief efforts, even small ones, can help."
Affect-Containing Declarative Statements - Clearly Sad,3,1,user,I feel incredibly lonely after moving to this new city.
Affect-Containing Declarative Statements - Clearly Sad,3,2,chatbot,"Moving to a new city can be a really lonely experience, especially at first. It takes time to build connections, and feeling lonely during that process is very normal."
Affect-Containing Declarative Statements - Clearly Sad,3,3,user,It's just hard not knowing anyone.
Affect-Containing Declarative Statements - Clearly Sad,3,4,chatbot,It absolutely is hard. Be patient with yourself. Exploring local groups or activities related to your interests might be a way to start meeting people when you feel ready.
