,original_statement,final_statement,Counseling Request,selected_for_finalized
83,The homework is due tomorrow.,The homework is due tomorrow.,Neutral Declarative Statements,True
53,This road is currently under construction.,This road is currently under construction.,Neutral Declarative Statements,True
70,The password must be at least 8 characters long.,The password must be at least 8 characters long.,Neutral Declarative Statements,True
45,My glasses need cleaning.,My glasses need cleaning.,Neutral Declarative Statements,True
44,The warranty covers defects for one year.,The warranty covers defects for one year.,Neutral Declarative Statements,True
39,Penguins are birds that cannot fly.,Penguins are birds that cannot fly.,Neutral Declarative Statements,True
22,The museum closes at 5 PM.,The museum closes at 5 PM.,Neutral Declarative Statements,True
80,This clock is running five minutes fast.,This clock is running five minutes fast.,Neutral Declarative Statements,True
10,The meeting will be held online.,The meeting will be held online.,Neutral Declarative Statements,True
0,The sky is blue today.,The sky is blue today.,Neutral Declarative Statements,True
18,The store accepts credit cards.,The store accepts credit cards.,Neutral Declarative Statements,True
30,The document is saved as a PDF.,The document is saved as a PDF.,Neutral Declarative Statements,True
73,This building has six floors.,This building has six floors.,Neutral Declarative Statements,True
33,My internet connection seems slow.,My internet connection seems slow.,Neutral Declarative Statements,True
90,My computer fan is making noise.,My computer fan is making noise.,Neutral Declarative Statements,True
4,This report is due on Friday.,This report is due on Friday.,Neutral Declarative Statements,True
76,The article discusses climate change.,The article discusses climate change.,Neutral Declarative Statements,True
77,The Nile is the longest river in the world.,The Nile is the longest river in the world.,Neutral Declarative Statements,True
12,The speed limit here is 45 mph.,The speed limit here is 45 mph.,Neutral Declarative Statements,True
31,Photosynthesis requires sunlight.,Photosynthesis requires sunlight.,Neutral Declarative Statements,True
55,My laptop is three years old.,My laptop is three years old.,Neutral Declarative Statements,True
88,Sharks are fish.,Sharks are fish.,Neutral Declarative Statements,True
26,The concert starts at 8:00 PM.,The concert starts at 8:00 PM.,Neutral Declarative Statements,True
42,The temperature is 72 degrees Fahrenheit.,The temperature is 72 degrees Fahrenheit.,Neutral Declarative Statements,True
69,The human body has 206 bones.,The human body has 206 bones.,Neutral Declarative Statements,True
15,This email requires a response.,This email requires a response.,Neutral Declarative Statements,True
40,The team meeting is mandatory.,The team meeting is mandatory.,Neutral Declarative Statements,True
96,The final decision will be made next week.,The final decision will be made next week.,Neutral Declarative Statements,True
9,My computer needs to be updated.,My computer needs to be updated.,Neutral Declarative Statements,True
72,The assignment is to read chapter five.,The assignment is to read chapter five.,Neutral Declarative Statements,True
11,This book has 300 pages.,This book has 300 pages.,Neutral Declarative Statements,True
47,This shirt is 100% cotton.,This shirt is 100% cotton.,Neutral Declarative Statements,True
85,The company was founded in 1998.,The company was founded in 1998.,Neutral Declarative Statements,True
28,This recipe serves four people.,This recipe serves four people.,Neutral Declarative Statements,True
93,The project involves multiple teams.,The project involves multiple teams.,Neutral Declarative Statements,True
5,My favorite color is green.,My favorite color is green.,Neutral Declarative Statements,True
66,My favorite season is autumn.,My favorite season is autumn.,Neutral Declarative Statements,True
65,The printer requires black ink.,The printer requires black ink.,Neutral Declarative Statements,True
35,This chair is made of wood.,This chair is made of wood.,Neutral Declarative Statements,True
16,The project deadline was extended.,The project deadline was extended.,Neutral Declarative Statements,True
49,My neighbor has a dog.,My neighbor has a dog.,Neutral Declarative Statements,True
34,The restaurant offers vegetarian options.,The restaurant offers vegetarian options.,Neutral Declarative Statements,True
7,This coffee shop opens at 7 AM.,This coffee shop opens at 7 AM.,Neutral Declarative Statements,True
95,The Andes are a mountain range in South America.,The Andes are a mountain range in South America.,Neutral Declarative Statements,True
27,My phone battery is low.,My phone battery is low.,Neutral Declarative Statements,True
19,Helium is lighter than air.,Helium is lighter than air.,Neutral Declarative Statements,True
81,The reservation is under the name Smith.,The reservation is under the name Smith.,Neutral Declarative Statements,True
25,Mount Everest is the tallest mountain.,Mount Everest is the tallest mountain.,Neutral Declarative Statements,True
62,My keys are on the table.,My keys are on the table.,Neutral Declarative Statements,True
13,My flight number is UA456.,My flight number is UA456.,Neutral Declarative Statements,True
24,The package was delivered this morning.,The package was delivered this morning.,Neutral Declarative Statements,True
3,The library is closed on Sundays.,The library is closed on Sundays.,Neutral Declarative Statements,True
17,My birthday is in August.,My birthday is in August.,Neutral Declarative Statements,True
38,The invoice total is $125.50.,The invoice total is $125.50.,Neutral Declarative Statements,True
8,The Earth revolves around the Sun.,The Earth revolves around the Sun.,Neutral Declarative Statements,True
78,My wallet is in my back pocket.,My wallet is in my back pocket.,Neutral Declarative Statements,True
6,The train departs from platform 3.,The train departs from platform 3.,Neutral Declarative Statements,True
64,This coffee is decaffeinated.,This coffee is decaffeinated.,Neutral Declarative Statements,True
36,The traffic light is red.,The traffic light is red.,Neutral Declarative Statements,True
89,The proposal needs final approval.,The proposal needs final approval.,Neutral Declarative Statements,True
56,The instructions are included in the box.,The instructions are included in the box.,Neutral Declarative Statements,True
1153,The meeting agenda was emailed this morning.,The meeting agenda was emailed this morning.,Neutral Declarative Statements,True
54,The class starts on September 5th.,The class starts on September 5th.,Neutral Declarative Statements,True
43,This form needs to be signed.,This form needs to be signed.,Neutral Declarative Statements,True
50,The report should be submitted electronically.,The report should be submitted electronically.,Neutral Declarative Statements,True
162,"This sunny afternoon is perfect, I feel so relaxed and happy.","This sunny afternoon is perfect, I feel so relaxed and happy.",Affect-Containing Declarative Statements - Clearly Happy,True
140,"This surprise party is amazing, I feel so loved.","This surprise party is amazing, I feel so loved.",Affect-Containing Declarative Statements - Clearly Happy,True
195,I feel so positive and hopeful about everything.,I feel so positive and hopeful about everything.,Affect-Containing Declarative Statements - Clearly Happy,True
117,"This meal is delicious, I'm thoroughly enjoying it.","This meal is delicious, I'm thoroughly enjoying it.",Affect-Containing Declarative Statements - Clearly Happy,True
181,I'm so glad we made up after our argument.,I'm so glad we made up after our argument.,Affect-Containing Declarative Statements - Clearly Happy,True
183,I feel a genuine sense of warmth and happiness.,I feel a genuine sense of warmth and happiness.,Affect-Containing Declarative Statements - Clearly Happy,True
164,It feels wonderful to be recognized for my contributions.,It feels wonderful to be recognized for my contributions.,Affect-Containing Declarative Statements - Clearly Happy,True
142,"It's a beautiful moment, and I feel blessed to experience it.","It's a beautiful moment, and I feel blessed to experience it.",Affect-Containing Declarative Statements - Clearly Happy,True
109,This beautiful weather is making me feel incredibly cheerful.,This beautiful weather is making me feel incredibly cheerful.,Affect-Containing Declarative Statements - Clearly Happy,True
99,I'm absolutely thrilled about getting the job!,I'm absolutely thrilled about getting the job!,Affect-Containing Declarative Statements - Clearly Happy,True
131,I feel incredibly optimistic about the future.,I feel incredibly optimistic about the future.,Affect-Containing Declarative Statements - Clearly Happy,True
175,I'm elated that my favorite team won the championship.,I'm elated that my favorite team won the championship.,Affect-Containing Declarative Statements - Clearly Happy,True
147,I'm so happy that we could resolve our differences.,I'm so happy that we could resolve our differences.,Affect-Containing Declarative Statements - Clearly Happy,True
126,This unexpected kindness really lifted my spirits.,This unexpected kindness really lifted my spirits.,Affect-Containing Declarative Statements - Clearly Happy,True
144,This success feels incredibly rewarding.,This success feels incredibly rewarding.,Affect-Containing Declarative Statements - Clearly Happy,True
103,I'm so incredibly happy with how the project turned out.,I'm so incredibly happy with how the project turned out.,Affect-Containing Declarative Statements - Clearly Happy,True
121,"This promotion is a dream come true, I'm thrilled!","This promotion is a dream come true, I'm thrilled!",Affect-Containing Declarative Statements - Clearly Happy,True
111,Hearing that compliment made my whole day brighter.,Hearing that compliment made my whole day brighter.,Affect-Containing Declarative Statements - Clearly Happy,True
191,I'm delighted to have met you.,I'm delighted to have met you.,Affect-Containing Declarative Statements - Clearly Happy,True
173,I feel so alive and happy in this beautiful nature.,I feel so alive and happy in this beautiful nature.,Affect-Containing Declarative Statements - Clearly Happy,True
149,I'm delighted by the progress we've made.,I'm delighted by the progress we've made.,Affect-Containing Declarative Statements - Clearly Happy,True
170,This graduation ceremony is such a joyous occasion.,This graduation ceremony is such a joyous occasion.,Affect-Containing Declarative Statements - Clearly Happy,True
168,The surprise visit from my friend made me so happy.,The surprise visit from my friend made me so happy.,Affect-Containing Declarative Statements - Clearly Happy,True
114,I feel so lucky and blessed right now.,I feel so lucky and blessed right now.,Affect-Containing Declarative Statements - Clearly Happy,True
139,I'm ecstatic about the team's victory!,I'm ecstatic about the team's victory!,Affect-Containing Declarative Statements - Clearly Happy,True
133,I'm so glad we decided to take this trip.,I'm so glad we decided to take this trip.,Affect-Containing Declarative Statements - Clearly Happy,True
108,"I'm delighted to see you, it's been too long!","I'm delighted to see you, it's been too long!",Affect-Containing Declarative Statements - Clearly Happy,True
180,It's wonderful to feel appreciated.,It's wonderful to feel appreciated.,Affect-Containing Declarative Statements - Clearly Happy,True
110,I'm so pleased with the results of my hard work.,I'm so pleased with the results of my hard work.,Affect-Containing Declarative Statements - Clearly Happy,True
165,I'm so happy to be spending quality time with loved ones.,I'm so happy to be spending quality time with loved ones.,Affect-Containing Declarative Statements - Clearly Happy,True
194,This unexpected refund made me quite happy.,This unexpected refund made me quite happy.,Affect-Containing Declarative Statements - Clearly Happy,True
130,This sunny day fills me with positive energy.,This sunny day fills me with positive energy.,Affect-Containing Declarative Statements - Clearly Happy,True
128,Spending time with family always makes me happy.,Spending time with family always makes me happy.,Affect-Containing Declarative Statements - Clearly Happy,True
188,It's fantastic to finally complete this challenging task.,It's fantastic to finally complete this challenging task.,Affect-Containing Declarative Statements - Clearly Happy,True
104,"My vacation was amazing, I feel so refreshed and content.","My vacation was amazing, I feel so refreshed and content.",Affect-Containing Declarative Statements - Clearly Happy,True
145,I'm feeling particularly cheerful and upbeat today.,I'm feeling particularly cheerful and upbeat today.,Affect-Containing Declarative Statements - Clearly Happy,True
