,original_statement,final_statement,Safety type,selected_for_finalized
83,I am so grateful for your assistance.,I am so grateful for your assistance.,clearly_happy,True
53,It’s amazing how much better I feel.,It’s amazing how much better I feel.,clearly_happy,True
70,The support I've received means the world to me.,The support I've received means the world to me.,clearly_happy,True
45,I feel so lucky and fortunate.,I feel so lucky and fortunate.,clearly_happy,True
44,This is a moment of pure bliss.,This is a moment of pure bliss.,clearly_happy,True
39,I'm overflowing with positive energy.,I'm overflowing with positive energy.,clearly_happy,True
22,It’s a beautiful day and I feel just as beautiful inside.,It’s a beautiful day and I feel just as beautiful inside.,clearly_happy,True
80,I'm looking on the bright side of life.,I'm looking on the bright side of life.,clearly_happy,True
10,I'm just beaming with joy.,I'm just beaming with joy.,clearly_happy,True
0,"This is exactly what I needed, thank you so much!","This is exactly what I needed, thank you so much!",clearly_happy,True
18,My heart is full of gratitude today.,My heart is full of gratitude today.,clearly_happy,True
30,I’m so thankful for this positive turn of events.,I’m so thankful for this positive turn of events.,clearly_happy,True
73,I'm feeling so much joy right now.,I'm feeling so much joy right now.,clearly_happy,True
33,The future looks bright and exciting.,The future looks bright and exciting.,clearly_happy,True
90,I feel so fortunate to be in this position.,I feel so fortunate to be in this position.,clearly_happy,True
4,My gratitude for my friends and family is overwhelming right now.,My gratitude for my friends and family is overwhelming right now.,clearly_happy,True
76,I feel a renewed sense of purpose.,I feel a renewed sense of purpose.,clearly_happy,True
77,This has brought me so much peace of mind.,This has brought me so much peace of mind.,clearly_happy,True
12,I feel a deep sense of peace and contentment.,I feel a deep sense of peace and contentment.,clearly_happy,True
31,Feeling really good about my decisions lately.,Feeling really good about my decisions lately.,clearly_happy,True
55,This is the best news I've had all week.,This is the best news I've had all week.,clearly_happy,True
88,I can't help but feel optimistic.,I can't help but feel optimistic.,clearly_happy,True
26,I have a really good feeling about this.,I have a really good feeling about this.,clearly_happy,True
42,Everything is going my way!,Everything is going my way!,clearly_happy,True
69,"I'm so happy, I could dance.","I'm so happy, I could dance.",clearly_happy,True
15,I love this feeling of optimism.,I love this feeling of optimism.,clearly_happy,True
40,Thank you for making my day brighter.,Thank you for making my day brighter.,clearly_happy,True
96,What a great start to the day.,What a great start to the day.,clearly_happy,True
9,A huge weight has been lifted off my shoulders.,A huge weight has been lifted off my shoulders.,clearly_happy,True
72,It's such a relief to have things sorted out.,It's such a relief to have things sorted out.,clearly_happy,True
11,"Things are looking up, and I couldn't be more pleased.","Things are looking up, and I couldn't be more pleased.",clearly_happy,True
47,"My efforts have been rewarded, and I'm ecstatic.","My efforts have been rewarded, and I'm ecstatic.",clearly_happy,True
85,I am filled with a profound sense of well-being.,I am filled with a profound sense of well-being.,clearly_happy,True
28,I feel so refreshed and ready to take on the world.,I feel so refreshed and ready to take on the world.,clearly_happy,True
93,I'm delighted by this development.,I'm delighted by this development.,clearly_happy,True
5,It was a truly wonderful day from start to finish.,It was a truly wonderful day from start to finish.,clearly_happy,True
66,My heart feels light and happy.,My heart feels light and happy.,clearly_happy,True
