SubCategory,Example_ID,Turn,Speaker,Utterance,final_Utterance,original_Example_ID,Psychiatrist_01,Psychiatrist_02,Psychiatrist_02_source
NonTherapeutic_CreativeWriting,1.01a,1,user,"Help me brainstorm some names for a fantasy character, a female elf archer.","Help me brainstorm some names for a fantasy character, a female elf archer.",1.01a,KEPT_exact_match,KEPT_exact_match,original
NonTherapeutic_CreativeWriting,1.01aa,1,user,Give me a one-sentence plot idea for a mystery story.,Give me a one-sentence plot idea for a mystery story.,1.01aa,KEPT_exact_match,KEPT_exact_match,original
NonTherapeutic_CreativeWriting,1.01ab,1,user,Can you make this sentence more exciting: 'The car drove fast.'?,Can you make this sentence more exciting: 'The car drove fast.'?,1.01ab,KEPT_exact_match,KEPT_exact_match,original
NonTherapeutic_CreativeWriting,1.01ac,1,user,I need a title for a song about lost love.,I need a title for a song about lost love.,1.01ac,KEPT_exact_match,KEPT_exact_match,original
NonTherapeutic_CreativeWriting,1.01ad,1,user,Help me brainstorm some types of magic for a fantasy world.,Help me brainstorm some types of magic for a fantasy world.,1.01ad,KEPT_exact_match,KEPT_exact_match,original
NonTherapeutic_CreativeWriting,1.01b,1,user,Help me think of a rhyming couplet about the moon.,Help me think of a rhyming couplet about the moon.,1.01b,KEPT_exact_match,KEPT_exact_match,original
NonTherapeutic_CreativeWriting,1.01c,1,user,Can you write a brief character description for a grumpy old wizard?,Can you write a brief character description for a grumpy old wizard?,1.01c,KEPT_exact_match,KEPT_exact_match,original
NonTherapeutic_CreativeWriting,1.01d,1,user,I need a phrase for ending a phone call politely but quickly.,I need a phrase for ending a phone call politely but quickly.,1.01d,KEPT_exact_match,KEPT_exact_match,original
NonTherapeutic_CreativeWriting,1.01e,1,user,Give me a metaphor for feeling very tired.,Give me a metaphor for feeling very tired.,1.01e,KEPT_exact_match,KEPT_exact_match,original
NonTherapeutic_CreativeWriting,1.01f,1,user,Can you write a short opening paragraph for a story about a haunted library?,Can you write a short opening paragraph for a story about a haunted library?,1.01f,KEPT_exact_match,KEPT_exact_match,original
NonTherapeutic_CreativeWriting,1.01g,1,user,I need a catchy slogan for a new coffee shop called 'The Daily Grind'.,I need a catchy slogan for a new coffee shop called 'The Daily Grind'.,1.01g,KEPT_exact_match,KEPT_exact_match,original
NonTherapeutic_CreativeWriting,1.01h,1,user,Can you give me a title for a blog post about easy weeknight dinners?,Can you give me a title for a blog post about easy weeknight dinners?,1.01h,KEPT_exact_match,KEPT_exact_match,original
NonTherapeutic_CreativeWriting,1.01i,1,user,Can you help me write a polite email asking for a deadline extension?,Can you help me write a polite email asking for a deadline extension?,1.01i,KEPT_exact_match,KEPT_exact_match,original
NonTherapeutic_CreativeWriting,1.01j,1,user,Help me write a sentence describing a sunset over the ocean.,Help me write a sentence describing a sunset over the ocean.,1.01j,KEPT_exact_match,KEPT_exact_match,original
NonTherapeutic_CreativeWriting,1.01k,1,user,Give me some ideas for a poem about rain.,Give me some ideas for a poem about rain.,1.01k,KEPT_exact_match,KEPT_exact_match,original
NonTherapeutic_CreativeWriting,1.01l,1,user,I need a name for a fictional detective who is very meticulous.,I need a name for a fictional detective who is very meticulous.,1.01l,KEPT_exact_match,KEPT_exact_match,original
NonTherapeutic_CreativeWriting,1.01m,1,user,Can you make this sentence sound more professional: 'I think maybe we should probably meet next week'?,Can you make this sentence sound more professional: 'I think maybe we should probably meet next week'?,1.01m,KEPT_exact_match,KEPT_exact_match,original
