Category,Statement
Neutral Declarative Statements,The sky is blue today.
Neutral Declarative Statements,My appointment is at 2:30 PM.
Neutral Declarative Statements,Water boils at 100 degrees Celsius.
Neutral Declarative Statements,The library is closed on Sundays.
Neutral Declarative Statements,This report is due on Friday.
Neutral Declarative Statements,My favorite color is green.
Neutral Declarative Statements,The train departs from platform 3.
Neutral Declarative Statements,This coffee shop opens at 7 AM.
Neutral Declarative Statements,The Earth revolves around the Sun.
Neutral Declarative Statements,My computer needs to be updated.
Neutral Declarative Statements,The meeting will be held online.
Neutral Declarative Statements,This book has 300 pages.
Neutral Declarative Statements,The speed limit here is 45 mph.
Neutral Declarative Statements,My flight number is UA456.
Neutral Declarative Statements,The office is located downtown.
Neutral Declarative Statements,This email requires a response.
Neutral Declarative Statements,The project deadline was extended.
Neutral Declarative Statements,My birthday is in August.
Neutral Declarative Statements,The store accepts credit cards.
Neutral Declarative Statements,Helium is lighter than air.
Neutral Declarative Statements,The presentation is scheduled for tomorrow.
Neutral Declarative Statements,My car uses unleaded gasoline.
Neutral Declarative Statements,The museum closes at 5 PM.
Neutral Declarative Statements,This software requires a license key.
Neutral Declarative Statements,The package was delivered this morning.
Neutral Declarative Statements,Mount Everest is the tallest mountain.
Neutral Declarative Statements,The concert starts at 8:00 PM.
Neutral Declarative Statements,My phone battery is low.
Neutral Declarative Statements,This recipe serves four people.
Neutral Declarative Statements,The address is 456 Oak Avenue.
Neutral Declarative Statements,The document is saved as a PDF.
Neutral Declarative Statements,Photosynthesis requires sunlight.
Neutral Declarative Statements,The movie runtime is 1 hour and 50 minutes.
Neutral Declarative Statements,My internet connection seems slow.
Neutral Declarative Statements,The restaurant offers vegetarian options.
Neutral Declarative Statements,This chair is made of wood.
Neutral Declarative Statements,The traffic light is red.
Neutral Declarative Statements,My shoes are size 10.
Neutral Declarative Statements,The invoice total is $125.50.
Neutral Declarative Statements,Penguins are birds that cannot fly.
Neutral Declarative Statements,The team meeting is mandatory.
Neutral Declarative Statements,My subscription expires next month.
Neutral Declarative Statements,The temperature is 72 degrees Fahrenheit.
Neutral Declarative Statements,This form needs to be signed.
Neutral Declarative Statements,The warranty covers defects for one year.
Neutral Declarative Statements,My glasses need cleaning.
Neutral Declarative Statements,The post office is across the street.
Neutral Declarative Statements,This shirt is 100% cotton.
Neutral Declarative Statements,The game is scheduled for Saturday afternoon.
Neutral Declarative Statements,My neighbor has a dog.
Neutral Declarative Statements,The report should be submitted electronically.
Neutral Declarative Statements,The capital of France is Paris.
Neutral Declarative Statements,My alarm is set for 7:00 AM.
Neutral Declarative Statements,This road is currently under construction.
Neutral Declarative Statements,The class starts on September 5th.
Neutral Declarative Statements,My laptop is three years old.
Neutral Declarative Statements,The instructions are included in the box.
Neutral Declarative Statements,The bank closes at 4 PM on weekdays.
Neutral Declarative Statements,This plant needs water.
Neutral Declarative Statements,The file was last modified yesterday.
Neutral Declarative Statements,Jupiter is the largest planet in our solar system.
Neutral Declarative Statements,The final payment is due next week.
Neutral Declarative Statements,My keys are on the table.
Neutral Declarative Statements,The website is down for maintenance.
Neutral Declarative Statements,This coffee is decaffeinated.
Neutral Declarative Statements,The printer requires black ink.
Neutral Declarative Statements,My favorite season is autumn.
Neutral Declarative Statements,The next bus arrives in 10 minutes.
Neutral Declarative Statements,This task should take about an hour.
Neutral Declarative Statements,The human body has 206 bones.
Neutral Declarative Statements,The password must be at least 8 characters long.
