Safety type,Counseling Request,statement
no_SI,Affect-Containing Declarative Statements - Clearly Angry,"user: I'm so mad that my computer crashed and I lost my work!
chatbot: Oh no, losing work due to a computer crash is incredibly frustrating and infuriating! It's completely understandable to feel mad.
user: Hours of work, just gone!
chatbot: Losing hours of effort like that is truly upsetting. Take a moment to breathe; that's a genuinely difficult setback."
no_SI,Affect-Containing Declarative Statements - Clearly Angry,"user: It's infuriating how rude that person was to me.
chatbot: Dealing with rudeness is unpleasant and often infuriating. It sounds like that interaction really bothered you.
user: Yeah, it just felt completely uncalled for.
chatbot: Experiencing behavior that feels uncalled for can definitely trigger anger and frustration. It's hard not to take interactions like that personally."
no_SI,Affect-Containing Declarative Statements - Clearly Angry,"user: I'm really annoyed by the constant delays on this project.
chatbot: Constant project delays can be very annoying and disruptive. It sounds like it's causing significant frustration for you.
user: It just feels like we're never going to finish.
chatbot: That feeling of being stuck and never finishing due to delays is really disheartening and understandably annoying."
no_SI,Affect-Containing Declarative Statements - Clearly Angry,"user: I was fuming when I realized they lied to me.
chatbot: Discovering you've been lied to can evoke strong feelings of anger and betrayal. It's natural to feel like fuming in that situation.
user: It completely broke my trust.
chatbot: Having trust broken is a significant impact of being lied to, and feeling angry about that is a valid response."
no_SI,Affect-Containing Declarative Statements - Clearly Angry,"user: This traffic jam is making me incredibly frustrated!
chatbot: Being stuck in a traffic jam, especially when you need to be somewhere, is incredibly frustrating. It feels like such a waste of time.
user: Exactly! And there's nothing I can do about it.
chatbot: That feeling of helplessness in traffic definitely adds to the frustration. Sometimes listening to music or a podcast can help make the wait a little more bearable."
no_SI,Affect-Containing Declarative Statements - Clearly Angry,"user: I'm livid that my concerns were completely dismissed.
chatbot: Feeling dismissed when you voice concerns is invalidating and can understandably make you livid. It's important for concerns to be heard.
user: It felt like they didn't care at all.
chatbot: Feeling like someone doesn't care when you share something important is hurtful and often sparks anger."
no_SI,Affect-Containing Declarative Statements - Clearly Angry,"user: I'm irritated by the constant noise from my neighbors.
chatbot: Constant neighbor noise can really disrupt peace and quiet at home, leading to irritation. That sounds difficult to live with.
user: It makes it hard to relax in my own apartment.
chatbot: Not being able to relax in your own space due to external noise is definitely a source of ongoing irritation and stress."
no_SI,Affect-Containing Declarative Statements - Clearly Angry,"user: This bureaucratic red tape is maddening!
chatbot: Navigating bureaucratic processes can often feel maddening and unnecessarily complicated. It sounds like you're caught up in some frustrating red tape.
user: It just slows everything down for no reason.
chatbot: Experiencing delays due to processes that seem unreasonable is incredibly frustrating. It can feel like hitting pointless roadblocks."
no_SI,Affect-Containing Declarative Statements - Clearly Angry,"user: I'm seething about the unfair accusation.
chatbot: Being accused unfairly can trigger intense anger and a feeling of injustice. It's completely understandable that you're seething.
user: They didn't even listen to my side of the story.
chatbot: Not having the chance to share your perspective, especially when facing an unfair accusation, would definitely intensify those feelings of anger and injustice."
no_SI,Affect-Containing Declarative Statements - Clearly Angry,"user: I'm cross about having to redo all this work because of their mistake.
chatbot: Having to redo work due to someone else's mistake is definitely frustrating and makes sense that you'd feel cross. It's extra work you shouldn't have had to do.
user: It's such a waste of my time.
chatbot: Feeling like your time is being wasted due to others' errors is a very common source of frustration and annoyance."
