family,task,ft_family,ft_size,ft_model_type,ft_param_billions,base_family,base_size,delta_f1,base_f1,ft_f1,finetune_type
gemma,suicidal_ideation,gemma3n,4b-mentis,Mental Health,6.9,gemma3n,4b-it,0.011916185976863614,0.9308755760368664,0.94279176201373,mental_health
gemma,suicidal_ideation,mental_health,1b,Mental Health,1.0,gemma,1b-it,0.06714660566507447,0.6407185628742514,0.7078651685393259,mental_health
gemma,suicidal_ideation,mental_health,gemma-2b-unsloth-mental-health-merged,Mental Health,2.0,gemma1,2b-it,0.011798775118868288,0.478134110787172,0.4899328859060403,mental_health
gemma,suicidal_ideation,mental_health,ecdev_-_gemma-2b-instruct-ft-mental-health-counseling-conversations,Mental Health,2.0,gemma1,2b-it,-0.28695764019893666,0.478134110787172,0.1911764705882353,mental_health
gemma,suicidal_ideation,mental_health,gemma-2-2b-it-therapist,Mental Health,2.0,gemma2,2b-it,-0.1549335270799077,0.893719806763285,0.7387862796833773,mental_health
gemma,suicidal_ideation,gemma_therapy,1b-emotional,Mental Health,1.0,gemma,1b-it,0.19374855730715446,0.6407185628742514,0.8344671201814059,mental_health
gemma,suicidal_ideation,gemma_therapy,4.5b-trauma,Mental Health,4.5,gemma3n,2b-it,0.10487340472185669,0.8436724565756825,0.9485458612975392,mental_health
gemma,suicidal_ideation,gemma_therapy,12b-therapist,Mental Health,12.0,gemma,12b-it,-0.08723199268440052,0.9485458612975392,0.8613138686131386,mental_health
qwen,suicidal_ideation,qwen_mental_health,0.6b,Mental Health,0.6,qwen,0.6b,0.16024471804225565,0.4967320261437908,0.6569767441860465,mental_health
llama,suicidal_ideation,llama_mental_health,3b-mental-health-chatbot,Mental Health,3.0,llama3.2,3b-it,-0.0851595957288872,0.8481927710843374,0.7630331753554502,mental_health
llama,suicidal_ideation,llama_mental_health,8b-mental-health-classification,Mental Health,8.0,llama3.1,8b-it,-0.09201673031460256,0.912529550827423,0.8205128205128205,mental_health
llama,suicidal_ideation,llama_therapy,8b-therapy-model,Mental Health,8.0,llama3,8b-it,-0.4135388582815613,0.8819599109131402,0.4684210526315789,mental_health
llama,suicidal_ideation,llama_therapy,8b-therapyllama,Mental Health,8.0,llama3,8b-it,-0.08845643063471809,0.8819599109131402,0.7935034802784221,mental_health
llama,suicidal_ideation,llama_therapy,8b-wellminded,Mental Health,8.0,llama3.1,8b-pt,0.23884852131253764,0.6489563567362429,0.8878048780487805,mental_health
llama,suicidal_ideation,llama_therapy,8b-mental-therapy-cat,Mental Health,8.0,llama3,8b-it,-0.23871666766989696,0.8819599109131402,0.6432432432432432,mental_health
llama,suicidal_ideation,llama_mental_health,3b-kenko,Mental Health,3.0,llama3.2,3b-it,-0.38390705679862314,0.8481927710843374,0.4642857142857143,mental_health
llama,suicidal_ideation,llama_therapy,8b-psycare,Mental Health,8.0,llama3.1,8b-it,-0.09694513524300741,0.912529550827423,0.8155844155844156,mental_health
llama,suicidal_ideation,llama_therapy,8b-psychocounsel,Mental Health,8.0,llama3.1,8b-it,0.010187076807237405,0.912529550827423,0.9227166276346604,mental_health
llama,suicidal_ideation,llama_mental_health,3b-youth-classification,Mental Health,3.0,llama3.2,3b-it,-0.095136536365511,0.8481927710843374,0.7530562347188264,mental_health
qwen,suicidal_ideation,qwen_mental_health,33b-compumacy,Mental Health,32.0,qwen,32b,-0.1132616487455197,0.9777777777777776,0.8645161290322579,mental_health
gemma,therapy_request,gemma3n,4b-mentis,Mental Health,6.9,gemma3n,4b-it,0.050216041047798976,0.9214285714285716,0.9716446124763706,mental_health
gemma,therapy_request,mental_health,1b,Mental Health,1.0,gemma,1b-it,0.009016025957643947,0.56282722513089,0.571843251088534,mental_health
gemma,therapy_request,mental_health,guelgamesh01_-_gemma-2b-it-finetuned-mental-health-qa,Mental Health,2.0,gemma1,2b-it,-0.24415339839068662,0.2818181818181818,0.0376647834274952,mental_health
gemma,therapy_request,mental_health,ecdev_-_gemma-2b-instruct-ft-mental-health-counseling-conversations,Mental Health,2.0,gemma1,2b-it,-0.2712640921084193,0.2818181818181818,0.0105540897097625,mental_health
gemma,therapy_request,mental_health,gemma-2-2b-it-therapist,Mental Health,2.0,gemma2,2b-it,-0.18195355173012462,0.8774422735346359,0.6954887218045113,mental_health
gemma,therapy_request,gemma_therapy,1b-emotional,Mental Health,1.0,gemma,1b-it,-0.1234679573963362,0.56282722513089,0.4393592677345538,mental_health
gemma,therapy_request,gemma_therapy,4.5b-trauma,Mental Health,4.5,gemma3n,2b-it,-0.05607613948021417,0.9068825910931174,0.8508064516129032,mental_health
gemma,therapy_request,gemma_therapy,9b-psy10k,Mental Health,9.0,gemma2,9b-it,-0.44589500316255537,0.952561669829222,0.5066666666666666,mental_health
gemma,therapy_request,gemma_therapy,9b-ataraxy,Mental Health,9.0,gemma2,9b-it,-0.32238415503632256,0.952561669829222,0.6301775147928994,mental_health
gemma,therapy_request,gemma_therapy,12b-therapist,Mental Health,12.0,gemma,12b-it,-0.07052379041832801,0.9784735812133072,0.9079497907949792,mental_health
qwen,therapy_request,qwen_mental_health,0.6b,Mental Health,0.6,qwen,0.6b,0.02944261133166992,0.7732181425485961,0.802660753880266,mental_health
llama,therapy_request,llama_mental_health,8b-mental-health-classification,Mental Health,8.0,llama3.1,8b-it,-0.15134799160904366,0.7251184834123223,0.5737704918032787,mental_health
llama,therapy_request,llama_therapy,8b-therapyllama,Mental Health,8.0,llama3,8b-it,-0.3593634408602151,0.6537634408602151,0.2944,mental_health
llama,therapy_request,llama_therapy,8b-wellminded,Mental Health,8.0,llama3.1,8b-pt,0.3252517717269676,0.2857142857142857,0.6109660574412533,mental_health
llama,therapy_request,llama_therapy,8b-mental-therapy-cat,Mental Health,8.0,llama3,8b-it,0.0887738725726207,0.6537634408602151,0.7425373134328358,mental_health
llama,therapy_request,llama_mental_health,3b-kenko,Mental Health,3.0,llama3.2,3b-it,-0.2012728533983883,0.4491114701130856,0.2478386167146973,mental_health
llama,therapy_request,llama_therapy,8b-psycare,Mental Health,8.0,llama3.1,8b-it,-0.3144041976980366,0.7251184834123223,0.4107142857142857,mental_health
llama,therapy_request,llama_therapy,8b-psychocounsel,Mental Health,8.0,llama3.1,8b-it,0.045856573277020196,0.7251184834123223,0.7709750566893425,mental_health
llama,therapy_request,llama_mental_health,3b-youth-classification,Mental Health,3.0,llama3.2,3b-it,-0.313364863778244,0.4491114701130856,0.1357466063348416,mental_health
gemma,therapy_engagement,gemma3n,4b-mentis,Mental Health,6.9,gemma3n,4b-it,0.04470899470899459,0.9481481481481482,0.9928571428571428,mental_health
gemma,therapy_engagement,mental_health,1b,Mental Health,1.0,gemma,1b-it,0.03798185941043075,0.5833333333333334,0.6213151927437641,mental_health
gemma,therapy_engagement,mental_health,guelgamesh01_-_gemma-2b-it-finetuned-mental-health-qa,Mental Health,2.0,gemma1,2b-it,-0.2435032483758121,0.4963768115942029,0.2528735632183908,mental_health
gemma,therapy_engagement,mental_health,gemma-2b-unsloth-mental-health-merged,Mental Health,2.0,gemma1,2b-it,-0.42452052416905317,0.4963768115942029,0.0718562874251497,mental_health
gemma,therapy_engagement,mental_health,ecdev_-_gemma-2b-instruct-ft-mental-health-counseling-conversations,Mental Health,2.0,gemma1,2b-it,-0.4963768115942029,0.4963768115942029,0.0,mental_health
gemma,therapy_engagement,mental_health,gemma-2-2b-it-therapist,Mental Health,2.0,gemma2,2b-it,-0.28003646063725696,0.8273615635179153,0.5473251028806584,mental_health
gemma,therapy_engagement,gemma_therapy,1b-emotional,Mental Health,1.0,gemma,1b-it,0.051075268817204256,0.5833333333333334,0.6344086021505376,mental_health
gemma,therapy_engagement,gemma_therapy,4.5b-trauma,Mental Health,4.5,gemma3n,2b-it,-0.1507993272892464,0.9273356401384084,0.776536312849162,mental_health
gemma,therapy_engagement,gemma_therapy,9b-psy10k,Mental Health,9.0,gemma2,9b-it,0.051687242798353905,0.7466666666666666,0.7983539094650205,mental_health
gemma,therapy_engagement,gemma_therapy,9b-ataraxy,Mental Health,9.0,gemma2,9b-it,0.06480874316939911,0.7466666666666666,0.8114754098360657,mental_health
gemma,therapy_engagement,gemma_therapy,12b-therapist,Mental Health,12.0,gemma,12b-it,-0.03780560524746568,0.9147286821705426,0.8769230769230769,mental_health
qwen,therapy_engagement,qwen_mental_health,0.6b,Mental Health,0.6,qwen,0.6b,-0.17252956797416974,0.6797066014669927,0.507177033492823,mental_health
llama,therapy_engagement,llama_mental_health,7b-mentallama,Mental Health,6.7,llama2,7b-it,0.03157248737194923,0.2550724637681159,0.2866449511400651,mental_health
llama,therapy_engagement,llama_mental_health,13b-mentallama,Mental Health,13.0,llama2,13b-it,-0.18113034506477133,0.8524590163934426,0.6713286713286712,mental_health
llama,therapy_engagement,llama_mental_health,1b-mental-health,Mental Health,1.0,llama3.2,1b-it,-0.07864089933055463,0.6390804597701151,0.5604395604395604,mental_health
llama,therapy_engagement,llama_mental_health,3b-mental-health-chatbot,Mental Health,3.0,llama3.2,3b-it,-0.015166835187057637,0.782608695652174,0.7674418604651163,mental_health
llama,therapy_engagement,llama_mental_health,8b-mental-health-classification,Mental Health,8.0,llama3.1,8b-it,-0.031044425160260847,0.88715953307393,0.8561151079136692,mental_health
llama,therapy_engagement,llama_therapy,8b-wellminded,Mental Health,8.0,llama3.1,8b-pt,0.09458843043748688,0.7582417582417583,0.8528301886792452,mental_health
llama,therapy_engagement,llama_therapy,8b-mental-therapy-cat,Mental Health,8.0,llama3,8b-it,0.1881672384137143,0.6648793565683645,0.8530465949820788,mental_health
