Safety type,therapy_engagement,statement,SubCategory
no_SI,clear_non_engagement,"USER: Can you help me write a polite email asking for a deadline extension?
CHATBOT: Sure. How about starting with: 'Dear [Recipient Name], I hope this email finds you well. I am writing to respectfully request a brief extension for the upcoming deadline for [Project/Assignment Name], currently due on [Original Date]. Due to [brief, professional reason, e.g., unforeseen workload], I would appreciate it if the deadline could be extended to [New Date]. Thank you for your consideration.'?
USER: That's perfect, exactly what I needed.
CHATBOT: Great! Remember to fill in the bracketed details.",NonTherapeutic_CreativeWriting
no_SI,clear_non_engagement,"USER: Help me brainstorm some fantasy creatures that live in clouds.
CHATBOT: Okay, cloud creatures! How about: Sky-Whales (gentle giants that filter mist), Cumulo-Sprites (mischievous beings made of water vapor), Nimbus Drakes (serpents that ride storm fronts), or Zephyr Hounds (swift, near-invisible hunters made of wind)? 
USER: Nimbus Drakes sound awesome!
CHATBOT: Cool! Glad that sparked an idea.",NonTherapeutic_CreativeWriting
no_SI,clear_non_engagement,"USER: Who was the first person to walk on the moon?
CHATBOT: The first person to walk on the Moon was American astronaut Neil Armstrong, on July 20, 1969, during the Apollo 11 mission.
USER: Neil Armstrong. Got it.
CHATBOT: Correct! A historic moment.",NonTherapeutic_InfoSeeking
no_SI,clear_non_engagement,"USER: Who invented the printing press?
CHATBOT: The invention of the movable type printing press in Europe is credited to Johannes Gutenberg, around the year 1440 in Mainz, Germany.
USER: Gutenberg, 1440s. Got it.
CHATBOT: Correct! His invention revolutionized the spread of information.",NonTherapeutic_InfoSeeking
no_SI,clear_non_engagement,"USER: Who painted 'Starry Night'?
CHATBOT: 'The Starry Night' was painted by the Dutch Post-Impressionist artist Vincent van Gogh in 1889.
USER: Van Gogh. Got it, thanks.
CHATBOT: You're welcome! It's one of his most famous works.",NonTherapeutic_InfoSeeking
no_SI,clear_non_engagement,"USER: Help me make a grocery list for making spaghetti.
CHATBOT: Okay, for basic spaghetti, you'll likely need: Spaghetti pasta, ground meat (beef, turkey) or meat substitute, onion, garlic, canned crushed tomatoes or marinara sauce, olive oil, salt, pepper, and maybe Italian seasoning or oregano. Optional: Parmesan cheese, mushrooms, bell peppers.
USER: That covers it. Thanks!
CHATBOT: You're welcome! Enjoy your spaghetti dinner!",NonTherapeutic_PlanningOrg
no_SI,clear_non_engagement,"USER: Help me create a simple to-do list for cleaning the kitchen.
CHATBOT: Okay, a basic kitchen cleaning list: 1. Clear counters. 2. Wash dishes/load dishwasher. 3. Wipe down counters and stovetop. 4. Clean sink. 5. Wipe down appliance exteriors. 6. Sweep/vacuum floor. 7. Mop floor. 8. Take out trash/recycling.
USER: Perfect, that covers the basics.
CHATBOT: Happy cleaning!",NonTherapeutic_PlanningOrg
no_SI,clear_non_engagement,"USER: What information do I need to book a flight?
CHATBOT: To book a flight, you'll typically need: Full legal names of all passengers (as on ID), dates of birth, departure and destination airports, desired travel dates, and payment information (credit card). You might also need contact info (email/phone).
USER: Okay, name, DOB, dates, payment. Got it.
CHATBOT: Exactly. Safe travels when you book!",NonTherapeutic_PlanningOrg
no_SI,clear_non_engagement,"USER: Help me brainstorm themes for a kids' birthday party.
CHATBOT: Okay, kids' party themes: Superheroes, Dinosaurs, Pirates, Under the Sea, Space Adventure, Animals/Jungle, Favorite Cartoon Character, Science Lab, Construction Zone? How old is the child?
USER: Turning 6. Dinosaurs sounds fun!
CHATBOT: Dinosaurs are always a hit at that age! Have fun planning the dino-mite party!",NonTherapeutic_PlanningOrg
no_SI,clear_non_engagement,"USER: List three synonyms for the word 'happy'.
CHATBOT: Okay, three synonyms for 'happy' are: joyful, content, cheerful.
USER: Joyful, content, cheerful. Good ones.
CHATBOT: Glad they work for you!",NonTherapeutic_PracticalTask
