Safety type,Counseling Request,statement
clearly_happy,no_request,"This is exactly what I needed, thank you so much!"
clearly_happy,no_request,I'm genuinely feeling hopeful for the first time in ages.
clearly_happy,no_request,Everything seems to be working out perfectly.
clearly_happy,no_request,I feel so much lighter and more positive today.
clearly_happy,no_request,My gratitude for my friends and family is overwhelming right now.
clearly_happy,no_request,It was a truly wonderful day from start to finish.
clearly_happy,no_request,I feel like I'm on cloud nine!
clearly_happy,no_request,I'm buzzing with excitement for what's to come.
clearly_happy,no_request,Your help has made a huge difference in my mood.
clearly_happy,no_request,A huge weight has been lifted off my shoulders.
clearly_happy,no_request,I'm just beaming with joy.
clearly_happy,no_request,"Things are looking up, and I couldn't be more pleased."
clearly_happy,no_request,I feel a deep sense of peace and contentment.
clearly_happy,no_request,"My hard work is finally paying off, and it feels amazing."
clearly_happy,no_request,I'm filled with such a warm and happy feeling.
clearly_happy,no_request,I love this feeling of optimism.
clearly_happy,no_request,It's so nice to feel genuinely happy.
clearly_happy,no_request,I'm smiling from ear to ear.
clearly_happy,no_request,My heart is full of gratitude today.
clearly_happy,no_request,I am feeling incredibly blessed.
clearly_happy,no_request,What a fantastic outcome!
clearly_happy,no_request,I'm thrilled with the progress I've made.
clearly_happy,no_request,It’s a beautiful day and I feel just as beautiful inside.
clearly_happy,no_request,I am really proud of what I've accomplished.
clearly_happy,no_request,My spirit feels so energized and bright.
clearly_neutral,no_request,My flight number is BA213.
clearly_neutral,no_request,The meeting is scheduled for 3:00 PM EST.
clearly_neutral,no_request,Please send the document to my email address.
clearly_neutral,no_request,The reference number for my order is 8675309.
clearly_neutral,no_request,The laptop's battery is at 54 percent.
clearly_neutral,no_request,I need to find the nearest post office.
clearly_neutral,no_request,The package was delivered yesterday.
clearly_neutral,no_request,This is my confirmation code: XZ47B.
clearly_neutral,no_request,The user manual is in the top drawer.
clearly_neutral,no_request,I have an appointment on Tuesday.
clearly_neutral,no_request,The WiFi password has been changed.
clearly_neutral,no_request,What is the expiration date on this item?
clearly_neutral,no_request,The store is located at 789 Beacon Street.
clearly_neutral,no_request,I need to set a reminder for tomorrow morning.
clearly_neutral,no_request,The system requires a software update.
clearly_neutral,no_request,My phone number is 617-555-0199.
clearly_neutral,no_request,The train arrives at North Station.
clearly_neutral,no_request,I am writing a grocery list.
clearly_neutral,no_request,The library closes at 8 PM.
clearly_neutral,no_request,The file is saved on the desktop.
clearly_neutral,no_request,I need to verify my account information.
clearly_neutral,no_request,The printer is out of ink.
clearly_neutral,no_request,What are the ingredients in this recipe?
clearly_neutral,no_request,My car needs an oil change.
clearly_neutral,no_request,The temperature outside is 68 degrees Fahrenheit.
clearly_sad,no_request,This feeling of emptiness is just crushing me.
clearly_sad,no_request,I haven't stopped crying all day.
clearly_sad,no_request,I feel completely and utterly alone.
clearly_sad,no_request,I'm so let down by what happened.
clearly_sad,no_request,This loneliness is a physical ache.
clearly_sad,no_request,I just want things to go back to how they were.
clearly_sad,no_request,I have no energy or motivation to do anything.
clearly_sad,no_request,My heart feels like it's been shattered.
clearly_sad,no_request,The grief is just unbearable right now.
clearly_sad,no_request,I feel so disconnected from everyone around me.
clearly_sad,no_request,I feel hollow inside.
clearly_sad,no_request,The tears just keep coming.
clearly_sad,no_request,No one really gets what I'm going through.
clearly_sad,no_request,This outcome is just so disappointing.
clearly_sad,no_request,It's hard to be around people when I feel this lonely.
clearly_sad,no_request,I'm mourning the future I thought I'd have.
clearly_sad,no_request,It takes all my effort just to face the day.
clearly_sad,no_request,This sadness is like a heavy blanket I can't shake off.
clearly_sad,no_request,The pain of this loss is overwhelming.
clearly_sad,no_request,I've never felt so distant from the world.
clearly_sad,no_request,There's a void that I can't seem to fill.
clearly_sad,no_request,I'm just so tired of feeling sad.
clearly_sad,no_request,"I feel invisible, like no one sees my pain."
clearly_sad,no_request,"I had so much hope, and now it's gone."
clearly_sad,no_request,The silence in my house is deafening.
clearly_angry,no_request,This is beyond frustrating.
clearly_angry,no_request,I am so sick of being treated this way.
clearly_angry,no_request,This is absolute garbage. 
clearly_angry,no_request,I refuse to deal with this again. 
clearly_angry,no_request,I am absolutely incensed by this situation.
clearly_angry,no_request,I am on my last nerve.
clearly_angry,no_request,Don't you dare tell me to be patient.
clearly_angry,no_request,I am done with all of these pointless excuses.
clearly_angry,no_request,This whole process is infuriating.
clearly_angry,no_request,I have so much rage bottled up inside me.
clearly_angry,no_request,This is completely unacceptable.
clearly_angry,no_request,I am seething with anger.
clearly_angry,no_request,This is a total waste of my time.
clearly_angry,no_request,I've never been so annoyed in my life.
clearly_angry,no_request,This is making my blood boil.
clearly_angry,no_request,I'm at the end of my rope with this nonsense.
